State/City,Location,DATE,SO2,NO2,PM10,PM2.5
Delhi,"Pritampura, Delhi",01-01-14,4,40,154,0
Delhi,"Pritampura, Delhi",01-06-14,4,41,232,0
Delhi,"Pritampura, Delhi",01-09-14,4,44,402,0
Delhi,"Pritampura, Delhi",15-01-14,4,46,291,0
Delhi,"Pritampura, Delhi",20-01-14,4,41,289,0
Delhi,"Pritampura, Delhi",23-01-14,4,41,192,0
Delhi,"Pritampura, Delhi",28-01-14,4,37,280,0
Delhi,"Pritampura, Delhi",02-03-14,4,37,326,0
Delhi,"Pritampura, Delhi",02-06-14,4,49,297,0
Delhi,"Pritampura, Delhi",02-11-14,4,38,246,0
Delhi,"Pritampura, Delhi",14-02-14,4,50,115,0
Delhi,"Pritampura, Delhi",19-02-14,4,49,263,0
Delhi,"Pritampura, Delhi",24-02-14,4,49,197,0
Delhi,"Pritampura, Delhi",27-02-14,4,51,254,0
Delhi,"Pritampura, Delhi",03-05-14,4,44,135,0
Delhi,"Pritampura, Delhi",03-10-14,4,41,129,0
Delhi,"Pritampura, Delhi",13-03-14,4,45,167,0
Delhi,"Pritampura, Delhi",24-03-14,4,48,220,0
Delhi,"Pritampura, Delhi",27-03-14,4,40,234,0
Delhi,"Pritampura, Delhi",04-02-14,4,44,219,0
Delhi,"Pritampura, Delhi",04-07-14,4,42,130,0
Delhi,"Pritampura, Delhi",15-04-14,4,42,334,0
Delhi,"Pritampura, Delhi",21-04-14,4,41,130,0
Delhi,"Pritampura, Delhi",24-04-14,4,50,163,0
Delhi,"Pritampura, Delhi",29-04-14,4,44,137,0
Delhi,"Pritampura, Delhi",05-05-14,4,45,257,0
Delhi,"Pritampura, Delhi",05-08-14,4,39,210,0
Delhi,"Pritampura, Delhi",13-05-14,4,33,146,0
Delhi,"Pritampura, Delhi",19-05-14,4,36,146,0
Delhi,"Pritampura, Delhi",22-05-14,4,43,109,0
Delhi,"Pritampura, Delhi",27-05-14,4,36,206,0
Delhi,"Pritampura, Delhi",06-02-14,4,47,198,0
Delhi,"Pritampura, Delhi",06-05-14,4,41,215,0
Delhi,"Pritampura, Delhi",06-10-14,4,32,221,0
Delhi,"Pritampura, Delhi",13-06-14,4,34,138,0
Delhi,"Pritampura, Delhi",18-06-14,4,39,203,0
Delhi,"Pritampura, Delhi",23-06-14,4,35,168,0
Delhi,"Pritampura, Delhi",26-06-14,4,37,132,0
Delhi,"Pritampura, Delhi",07-02-14,4,33,224,0
Delhi,"Pritampura, Delhi",07-07-14,4,35,272,0
Delhi,"Pritampura, Delhi",07-10-14,4,37,104,0
Delhi,"Pritampura, Delhi",15-07-14,4,37,124,0
Delhi,"Pritampura, Delhi",23-07-14,4,36,68,0
Delhi,"Pritampura, Delhi",28-07-14,4,38,129,0
Delhi,"Pritampura, Delhi",08-04-14,4,42,111,0
Delhi,"Pritampura, Delhi",08-07-14,4,38,154,0
Delhi,"Pritampura, Delhi",08-12-14,4,35,126,0
Delhi,"Pritampura, Delhi",19-08-14,4,34,146,0
Delhi,"Pritampura, Delhi",22-08-14,4,36,177,0
Delhi,"Pritampura, Delhi",27-08-14,4,32,134,0
Delhi,"Pritampura, Delhi",09-02-14,4,36,174,0
Delhi,"Pritampura, Delhi",09-05-14,4,39,62,0
Delhi,"Pritampura, Delhi",09-10-14,4,41,84,0
Delhi,"Pritampura, Delhi",15-09-14,4,37,80,0
Delhi,"Pritampura, Delhi",18-09-14,4,36,107,0
Delhi,"Pritampura, Delhi",23-09-14,4,38,92,0
Delhi,"Pritampura, Delhi",26-09-14,4,35,101,0
Delhi,"Pritampura, Delhi",10-07-14,4,32,150,0
Delhi,"Pritampura, Delhi",10-10-14,4,37,134,0
Delhi,"Pritampura, Delhi",15-10-14,4,45,115,0
Delhi,"Pritampura, Delhi",20-10-14,4,48,230,0
Delhi,"Pritampura, Delhi",22-10-14,6,82,348,0
Delhi,"Pritampura, Delhi",27-10-14,4,44,209,0
Delhi,"Pritampura, Delhi",30-10-14,4,41,206,0
Delhi,"Pritampura, Delhi",11-05-14,4,38,210,0
Delhi,"Pritampura, Delhi",11-11-14,4,39,236,0
Delhi,"Pritampura, Delhi",14-11-14,4,40,192,0
Delhi,"Pritampura, Delhi",19-11-14,4,36,247,0
Delhi,"Pritampura, Delhi",24-11-14,4,39,215,0
Delhi,"Pritampura, Delhi",27-11-14,4,37,420,0
Delhi,"Pritampura, Delhi",12-03-14,4,39,225,0
Delhi,"Pritampura, Delhi",12-08-14,4,40,189,0
Delhi,"Pritampura, Delhi",12-11-14,4,39,228,0
Delhi,"Pritampura, Delhi",16-12-14,4,36,229,0
Delhi,"Pritampura, Delhi",19-12-14,4,34,382,0
Delhi,"Pritampura, Delhi",30-12-14,4,31,309,0
Delhi,"Siri Fort, Delhi",01-02-14,4,47,107,0
Delhi,"Siri Fort, Delhi",01-07-14,4,45,198,0
Delhi,"Siri Fort, Delhi",01-10-14,4,57,318,0
Delhi,"Siri Fort, Delhi",16-01-14,4,50,458,0
Delhi,"Siri Fort, Delhi",21-01-14,4,26,142,0
Delhi,"Siri Fort, Delhi",24-01-14,4,37,179,0
Delhi,"Siri Fort, Delhi",29-01-14,4,33,180,0
Delhi,"Siri Fort, Delhi",02-04-14,4,46,157,0
Delhi,"Siri Fort, Delhi",02-07-14,4,50,226,0
Delhi,"Siri Fort, Delhi",02-12-14,4,51,234,0
