State/City,Location,DATE,SO2,NO2,PM10,PM2.5,aqi,T,Po,P,Pa,U
Delhi,"Pritampura, Delhi",2014-01-01,4,40,154,0,100,13.6,746.8,765.8,-0.3,97
Delhi,"Nizamuddin, Delhi",2014-01-01,4,40,212,0,129,13.6,746.8,765.8,-0.3,97
Delhi,"Pritampura, Delhi",2014-01-06,4,41,232,0,139,26.2,735.2,753.1,2.6,72
Delhi,"Nizamuddin, Delhi",2014-01-06,4,40,190,0,118,26.2,735.2,753.1,2.6,72
Delhi,"Pritampura, Delhi",2014-01-09,4,44,402,0,268,0,744,751.3,0,0
Delhi,"Nizamuddin, Delhi",2014-01-09,4,67,379,0,235,0,744,751.3,0,0
Delhi,"Mayapuri Industrial Area, Delhi",2014-01-09,18,100,604,0,500,0,744,751.3,0,0
Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",2014-01-09,14,106,541,0,437,0,744,751.3,0,0
Delhi,"Pritampura, Delhi",2014-01-15,4,46,291,0,169,11.4,746,765.1,1.4,100
Delhi,"Nizamuddin, Delhi",2014-01-15,5,60,380,0,237,11.4,746,765.1,1.4,100
Delhi,"N-Y- SCHOOL, Sarojini Nagar, Delhi",2014-01-15,19,113,396,0,260,11.4,746,765.1,1.4,100
Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",2014-01-15,10,114,499,0,394,11.4,746,765.1,1.4,100
Delhi,"Pritampura, Delhi",2014-01-20,4,41,289,0,168,21.6,746.3,764.8,-2,56
Delhi,"Nizamuddin, Delhi",2014-01-20,4,44,222,0,134,21.6,746.3,764.8,-2,56
Delhi,"Pritampura, Delhi",2014-01-23,4,41,192,0,119,12.6,746.3,765.4,0.3,100
Delhi,"Nizamuddin, Delhi",2014-01-23,4,40,106,0,76,12.6,746.3,765.4,0.3,100
Delhi,"Mayapuri Industrial Area, Delhi",2014-01-23,4,84,250,0,148,12.6,746.3,765.4,0.3,100
Delhi,"N-Y- SCHOOL, Sarojini Nagar, Delhi",2014-01-23,2,63,167,0,107,12.6,746.3,765.4,0.3,100
Delhi,"Pritampura, Delhi",2014-01-28,4,37,280,0,163,23.4,742.9,761.2,-2.5,37
Delhi,"Nizamuddin, Delhi",2014-01-28,4,35,219,0,133,23.4,742.9,761.2,-2.5,37
Delhi,"Town Hall, Ayurvedic Dispensary, Chandni Chowk, Delhi",2014-01-28,6,60,368,0,220,23.4,742.9,761.2,-2.5,37
Delhi,"Pritampura, Delhi",2014-02-03,4,37,326,0,186,12.6,743.1,762.1,0,100
Delhi,"Nizamuddin, Delhi",2014-02-03,4,54,279,0,163,12.6,743.1,762.1,0,100
Delhi,"Pritampura, Delhi",2014-02-06,4,49,297,0,172,31.4,735.2,752.8,-0.4,34
Delhi,"Nizamuddin, Delhi",2014-02-06,5,50,192,0,119,31.4,735.2,752.8,-0.4,34
