DATE,T,Po,P,Pa,U
2014-01-01,13.6,746.8,765.8,-0.3,97
2014-01-01,11.8,747.5,766.6,1.2,100
2014-01-01,15.6,748.2,767.1,0.7,89
2014-01-01,17.6,746.4,765.1,-1.8,78
2014-01-01,15.6,745.8,764.7,-0.6,87
2014-01-01,12.8,746.6,765.7,0.8,88
2014-01-01,10.2,746.9,766.1,0.3,97
2014-01-01,12.6,746.3,765.4,-0.5,100
2014-01-02,12.2,746.4,765.5,1.4,88
2014-01-02,14.4,747.1,766.1,0.7,78
2014-01-02,18.6,745.6,764.3,-1.5,66
2014-01-02,18,745.2,763.9,-0.4,71
2014-01-02,13.6,746.1,765.1,0.9,88
2014-01-02,11.8,746.2,765.3,0.1,92
2014-01-02,12,745,764.1,-0.3,91
2014-01-02,13,745.3,764.3,-0.4,91
2014-01-03,16.2,743.2,761.9,1.5,91
2014-01-03,13.6,740.7,759.6,0,100
2014-01-03,13.8,740.9,759.7,0.2,100
2014-01-03,14.4,742.8,761.7,1.9,96
2014-01-03,16.4,743.8,762.5,1,90
2014-01-03,18.8,742.6,761.2,-1.2,84
2014-01-03,20.4,741.7,760.1,-0.9,76
2014-01-03,14,743.8,762.7,0.6,97
2014-01-04,19,737.8,756.2,0,81
2014-01-04,18.4,736.7,755.1,-1.1,73
2014-01-04,32,735.8,753.4,-0.6,29
2014-01-04,29.8,738.1,755.9,0.2,32
2014-01-04,32.8,736.4,754,-1.7,24
2014-01-04,21.2,737.9,756.2,1.2,65
2014-01-04,24.2,736.4,754.5,0.6,59
2014-01-04,21,736.6,754.9,0.2,75
2014-01-05,33,733.4,750.9,-0.1,32
2014-01-05,40,735.8,752.9,0,26
2014-01-05,25.8,734.6,752.5,-0.3,51
2014-01-05,31.2,735.8,753.4,1.2,33
2014-01-05,40.6,731.8,748.8,-1.6,22
2014-01-05,33,733.5,751,1.7,41
2014-01-05,27.2,734.9,752.7,-0.1,50
2014-01-05,42.6,733.4,750.3,-2.4,19
2014-01-06,26.2,735.2,753.1,2.6,72
2014-01-06,33,735.6,753.1,1,34
2014-01-06,33.4,734.6,752.1,1.1,50
2014-01-06,37.4,733.5,750.7,-1.5,38
2014-01-06,36.4,735,752.3,-1.2,37
2014-01-06,34.4,736.2,753.7,2.3,43
2014-01-06,31.6,733.9,751.5,-1.3,42
2014-01-06,30.6,732.6,750.2,-0.4,52
2014-01-07,30.4,730.9,748.5,-0.3,80
2014-01-07,29.6,732.2,749.8,1.3,78
2014-01-07,30.8,733.5,751.1,1.3,70
2014-01-07,32,734.1,751.6,0.6,64
2014-01-07,33.6,733.3,750.7,-0.8,67
2014-01-07,34.6,731.7,749,-1.6,63
2014-01-07,31.6,732.9,750.4,1.2,72
2014-01-07,30.2,734.1,751.8,1.2,77
2014-01-08,32.2,731.4,748.9,1.5,69
2014-01-08,29.2,732,749.7,0,83
2014-01-08,32.4,732.9,750.4,0.9,73
2014-01-08,34.6,732.5,749.9,-0.4,64
2014-01-08,37,730.8,748,-1.7,53
2014-01-08,33.4,729.9,747.3,0.7,62
2014-01-08,36.6,729.2,746.4,-1.6,55
2014-01-09,27.8,734,751.8,0.8,80
2014-01-09,0,0,751.3,0,0
2014-01-09,34.4,732.5,749.9,0,55
2014-01-09,33.6,731.5,748.9,-1,53
2014-01-09,29.2,733.3,751,1.8,72
2014-01-09,28,734.2,752,0.9,76
2014-01-09,26,733.2,751.1,0.3,90
2014-01-09,26.6,732.9,750.7,-0.8,89
2014-01-10,29.2,739.9,757.8,0,68
2014-01-10,36.4,739.2,756.6,-1.7,30
2014-01-10,35.2,738.5,756,-0.7,35
2014-01-10,25.8,740.1,758.2,0.5,79
2014-01-10,28,741.3,759.3,1.2,70
2014-01-10,27.2,739.6,757.6,-0.5,74
2014-01-10,31.6,739.9,757.6,1.4,57
2014-01-10,34.4,740.9,758.5,-0.4,41
2014-01-11,19.4,742.5,761,-0.1,69
2014-01-11,18.2,741.5,760.1,-0.4,79
2014-01-11,26.4,741.6,759.7,-0.3,49
2014-01-11,27.6,743.3,761.3,0.3,50
2014-01-11,21,743,761.4,1.5,65
2014-01-11,28.6,741.9,759.8,-1.4,29
2014-01-11,20,742.6,761.1,1,71
2014-01-11,19,741.9,760.4,-0.3,84
2014-01-12,17.8,742,760.6,0.2,58
2014-01-12,26,733.2,751.1,0,90
2014-01-12,25,741.1,759.2,-0.1,31
2014-01-12,28.4,741.2,759.1,-1.9,20
2014-01-12,25.6,743.1,761.2,0.2,34
2014-01-12,16.8,742.9,761.6,0.9,61
2014-01-12,18.2,741.8,760.4,0.7,57
2014-01-13,14.2,745.6,764.5,0.4,80
2014-01-13,9,745.8,765.1,-0.7,100
2014-01-13,8.6,746,765.3,0.2,100
2014-01-13,8.4,746.7,766.1,0.7,97
2014-01-13,18,747.3,766,0.6,59
2014-01-13,21.2,745.4,763.9,-1.9,42
2014-01-13,18.6,745.2,763.8,-0.2,54
2014-01-13,11.6,745.4,764.5,-0.2,92
2014-01-14,19.2,742.5,761,-0.7,62
2014-01-14,15.4,743.6,762.4,1.1,96
2014-01-14,13.2,744.1,763.1,0.5,97
2014-01-14,18.2,745.8,764.5,0.5,61
2014-01-14,21.6,743.2,761.6,-2.6,41
2014-01-14,10,743.9,763.1,-1.2,100
2014-01-14,10.2,745.3,764.5,1.4,95
2014-01-14,10.6,745.1,764.3,-0.3,97
2014-01-15,11.8,744.3,763.4,0.2,100
2014-01-15,11.4,744.6,763.7,0.3,100
2014-01-15,11.4,746,765.1,1.4,100
2014-01-15,12.4,746.9,766,0.9,93
2014-01-15,14.6,745.2,764.1,-1.7,89
2014-01-15,15.2,745.1,764,-0.1,85
2014-01-15,11,746.2,765.4,1.1,95
2014-01-15,9.6,746.4,765.7,0.2,100
2014-01-16,15,746.9,765.8,0.1,79
2014-01-16,11,745.5,764.7,-0.1,97
2014-01-16,12.6,745.6,764.6,0.9,96
2014-01-16,15.4,744.7,763.5,0,85
2014-01-16,10.8,746.8,766,1.4,97
2014-01-16,11,745.4,764.6,-0.5,100
2014-01-16,10.6,745.9,765.1,-0.5,100
2014-01-17,10.2,745.3,764.5,-0.2,97
2014-01-17,9.4,744.8,764,-0.5,100
2014-01-17,11.6,745.9,765,1.1,100
2014-01-17,12.4,746.6,765.7,0.7,91
2014-01-17,12.8,743.9,762.9,-2.7,93
2014-01-17,12.8,742.7,761.7,-1.2,96
2014-01-17,12.2,743.4,762.4,0.7,95
2014-01-17,12.8,743.4,762.4,0,100
2014-01-18,12,748,767.1,1.5,100
2014-01-18,14,746.5,765.5,1.3,93
2014-01-18,15.2,745.2,764.1,-0.7,83
2014-01-18,10.2,748.8,768.1,0.8,100
2014-01-18,13.8,745.9,764.9,1.9,91
2014-01-18,12.6,742.1,761.1,-1.1,100
2014-01-18,11.8,743.2,762.2,-0.2,100
2014-01-18,12.4,744,763,1.9,100
2014-01-19,10.2,748.2,767.5,-0.6,100
2014-01-19,11.4,749.1,768.3,0.9,100
2014-01-19,11.6,749.9,769.1,0.8,97
2014-01-19,16,750.8,769.7,0.9,73
2014-01-19,20,748.3,766.9,-2.5,68
2014-01-19,19.2,747.6,766.3,-0.7,76
2014-01-19,14.2,747.7,766.7,0.1,97
2014-01-19,12.6,747.6,766.7,-0.1,100
2014-01-20,13.8,747.3,766.3,0.4,97
2014-01-20,14.2,746.9,765.9,0.8,93
2014-01-20,18.8,746.1,764.8,-0.2,72
2014-01-20,21.6,746.3,764.8,-2,56
2014-01-20,10.2,747.9,767.2,1.4,100
2014-01-20,10.4,746.5,765.7,-0.1,100
2014-01-20,11,746.6,765.8,-1,100
2014-01-20,14.6,748.3,767.3,0.4,82
2014-01-21,12.8,746.6,765.7,-0.7,97
2014-01-21,12.6,746.4,765.5,-0.2,97
2014-01-21,13,746.6,765.6,0.2,100
2014-01-21,13.4,748.2,767.3,1.6,96
2014-01-21,14,745.9,764.9,-2.3,97
2014-01-21,14.6,745.6,764.5,-0.3,98
2014-01-21,14,746.4,765.4,0,97
2014-01-22,15.4,746.5,765.4,0,97
2014-01-22,15.2,747.2,766.1,0,98
2014-01-22,16.4,744.9,763.7,0,98
2014-01-22,15.4,746.8,765.7,0,100
2014-01-22,17,744.7,763.4,0,96
2014-01-22,13.6,745,764,-1.3,93
2014-01-22,13.2,746.3,765.3,-0.1,97
2014-01-22,14.6,746.6,765.5,0,98
2014-01-23,15.2,746,764.9,0.5,98
2014-01-23,18.6,745.5,764.1,-0.3,84
2014-01-23,19.8,745.8,764.4,-2.3,74
2014-01-23,17.4,748.1,766.9,0,82
2014-01-23,12.6,746.3,765.4,0.3,100
2014-01-23,14.4,746.8,765.8,0,100
2014-01-23,14.8,746.8,765.7,0,100
2014-01-23,14.6,747.9,766.9,0,98
2014-01-24,12.4,745.2,764.3,-1.1,100
2014-01-24,12.2,744.6,763.6,-0.6,100
2014-01-24,12.2,746.2,765.3,1.6,100
2014-01-24,14,746.9,765.9,0.7,91
2014-01-24,17.6,745.2,763.9,-1.7,75
2014-01-24,17.4,744.9,763.6,-0.3,76
2014-01-24,13.8,745.8,764.8,0.9,96
2014-01-24,12.2,745.7,764.8,-0.1,97
2014-01-25,11.6,745.5,764.6,1,97
2014-01-25,14,745.5,764.5,-2.2,89
2014-01-25,13.6,744.5,763.4,-1,88
2014-01-25,11.4,747.7,766.9,0.8,100
2014-01-25,11,745.6,764.8,0.1,100
2014-01-25,10.6,745.3,764.5,0.2,100
2014-01-25,11.6,745.1,764.2,-0.6,100
2014-01-25,10.8,746.9,766.1,1.6,100
2014-01-26,10.2,745.6,764.8,0,100
2014-01-26,11,744.7,763.8,-0.9,100
2014-01-26,10.8,746,765.2,1.3,100
2014-01-26,14.8,746.8,765.7,0.8,83
2014-01-26,19.8,744.8,763.4,-2,69
2014-01-26,19.6,744.2,762.8,-0.6,69
2014-01-26,14,745.4,764.3,1.2,96
2014-01-26,12.4,746.1,765.2,0.7,97
2014-01-27,14.6,745,763.9,0,87
2014-01-27,16.4,745,763.8,0.6,84
2014-01-27,22,744.4,762.8,-0.7,55
2014-01-27,23.6,745.1,763.4,-1.9,50
2014-01-27,20,747,765.6,0.6,59
2014-01-27,11.2,745.4,764.5,-0.3,100
2014-01-27,12,745.7,764.8,-0.4,100
2014-01-27,11.8,746.4,765.5,1,97
2014-01-28,12.8,744.9,763.9,-0.1,91
2014-01-28,11.2,744.4,763.5,-0.5,95
2014-01-28,11.8,745.2,764.3,0.8,92
2014-01-28,20,745.4,764,0.2,59
2014-01-28,23.4,742.9,761.2,-2.5,37
2014-01-28,22.7,742.4,760.7,-0.5,51
2014-01-28,16.6,743.2,761.9,0.8,85
2014-01-28,14,743.6,762.5,0.4,91
2014-01-29,21,744.3,762.8,-1.8,65
2014-01-29,13,746.2,765.2,0.9,97
2014-01-29,14.8,745.3,764.2,1.2,91
2014-01-29,18.4,746.1,764.8,1.2,68
2014-01-29,18.2,744.1,762.7,-0.2,79
2014-01-29,11.4,743.6,762.7,0.6,100
2014-01-29,11.4,744.9,764,1.3,92
2014-01-29,12.8,743,762,-0.6,93
2014-01-30,11.4,745.7,764.8,0.1,95
2014-01-30,14.8,745.6,764.5,1.1,91
2014-01-30,19.8,744.5,763,-0.6,73
2014-01-30,20.2,745.1,763.6,-2,68
2014-01-30,12.4,745.7,764.8,-0.5,100
2014-01-30,11,746.4,765.6,1.3,100
2014-01-30,12,745.1,764.2,-0.6,100
2014-01-30,15.6,747.1,766,0.7,75
2014-01-31,14.2,745.4,764.3,0.5,91
2014-01-31,17.2,744.9,763.6,-0.3,78
2014-01-31,21,745.2,763.7,-1.9,62
2014-01-31,14.6,747.1,766,0.7,87
2014-01-31,14.2,745.7,764.6,0.3,91
2014-01-31,11.8,745,764.1,-0.5,100
2014-01-31,10.6,745.5,764.7,-0.2,100
2014-01-31,12.2,746.4,765.5,1.4,95
2014-02-01,11.2,745.7,764.8,0.3,92
2014-02-01,9.2,746.6,765.9,-0.3,100
2014-02-01,6.8,746,765.5,-0.6,100
2014-02-01,6.4,747.1,766.6,1.1,97
2014-02-01,14.4,747.7,766.7,0.6,63
2014-02-01,18,746,764.7,-1.7,52
2014-02-01,15.6,745.4,764.2,-0.6,73
2014-02-01,8.6,745.2,764.5,-0.5,92
2014-02-02,20.8,742.8,761.2,-0.2,65
2014-02-02,13.4,743.5,762.4,0.4,93
2014-02-02,16.4,743.1,761.8,0.3,85
2014-02-02,19.8,745.6,764.2,-0.2,62
2014-02-02,22.8,743,761.3,-2.6,57
2014-02-02,8.4,744.9,764.2,-1,97
2014-02-02,10.8,745.9,765.1,-0.3,95
2014-02-02,8.6,745.8,765.1,0.9,95
2014-02-03,13.6,744.9,763.9,1.8,100
2014-02-03,14,744.3,763.2,0.4,96
2014-02-03,16.2,743.9,762.7,0.9,87
2014-02-03,20.2,743,761.5,-1,63
2014-02-03,12.6,743.1,762.1,0,100
2014-02-03,21,744,762.5,-1.8,57
2014-02-03,18.2,745.8,764.5,0.9,71
2014-02-04,23.4,737.4,755.5,1.9,60
2014-02-04,34,736.9,754.4,0.1,31
2014-02-04,24.2,737.6,755.7,1.5,56
2014-02-04,26.6,736.1,754,1.9,49
2014-02-04,33.8,734.2,751.6,-2.7,42
2014-02-04,19.6,735.7,754,-0.9,78
2014-02-04,31.2,736.8,754.5,-0.6,39
2014-02-04,18.8,735.5,753.9,-0.2,84
2014-02-05,32,733.2,750.7,-0.2,29
2014-02-05,27.4,733.5,751.3,0.3,44
2014-02-05,40.2,731.6,748.6,-1.3,23
2014-02-05,38,734.7,751.9,0.1,26
2014-02-05,32.2,734.9,752.5,-0.5,53
2014-02-05,35.2,735.4,752.8,3.8,25
2014-02-05,33.2,734.6,752.1,1.1,34
2014-02-05,39.6,732.9,750,-1.8,24
2014-02-06,31.8,737.1,754.7,1,55
2014-02-06,37.2,736.9,754.2,-0.2,36
2014-02-06,39,735.6,752.8,-1.3,36
2014-02-06,37.4,733.8,751,-1.8,35
2014-02-06,33.2,733.4,750.9,-0.4,49
2014-02-06,31.4,735.2,752.8,-0.4,34
2014-02-06,26.2,736.1,754,0.9,65
2014-02-06,29.6,733.8,751.5,0.4,62
2014-02-07,28.8,732.3,750,0.1,82
2014-02-07,27,733.4,751.2,-0.7,81
2014-02-07,30.4,734.5,752.1,0.8,70
2014-02-07,35,734,751.4,-0.5,60
2014-02-07,26,734.3,752.2,0.3,86
2014-02-07,29.8,732.1,749.7,-2.2,73
2014-02-07,29.6,732.2,749.8,0.1,81
2014-02-07,28.2,733.7,751.5,0.3,82
2014-02-08,29,730.2,747.8,1.1,85
2014-02-08,29.2,729.1,746.7,-0.9,88
2014-02-08,28.6,730,747.6,-0.6,92
2014-02-08,35.2,730.6,747.9,-0.6,59
2014-02-08,33,731.2,748.6,0.5,70
2014-02-08,30.4,730.7,748.3,0,83
2014-02-08,28.4,730.1,747.8,-0.1,91
2014-02-08,31.4,730.7,748.2,-0.7,77
2014-02-09,27.4,733.6,751.4,-0.6,78
2014-02-09,28.2,734.4,752.2,0.5,83
2014-02-09,28.2,733.9,751.7,1.8,86
2014-02-09,29,732.1,749.8,-0.4,86
2014-02-09,34,732.5,749.9,-1.9,56
2014-02-09,32,734.4,752,-0.1,62
